WS,category,definition,gloss,uni_lemma
item_432,action_words,jooksma,run,run
item_433,action_words,jooma,drink (action),drink (action)
item_434,action_words,joonistama,draw,draw
item_435,action_words,juhtima,drive,drive
item_436,action_words,jääma,stay,stay
item_437,action_words,kallistama,hug,hug
item_438,action_words,kartma,fear,fear
item_439,action_words,katsuma,touch,touch
item_440,action_words,keetma,boil,boil
item_441,action_words,kiikuma,swing (action),swing (action)
item_442,action_words,kiirustama,hurry,hurry
item_443,action_words,kirjutama,write,write
item_444,action_words,koputama,knock,knock
item_445,action_words,koristama,clean (action),clean (action)
item_446,action_words,kuivatama,dry (action),dry (action)
item_447,action_words,kukkuma,fall,fall
item_448,action_words,kuulma,hear,hear
item_449,action_words,kõdistama,tickle,tickle
item_450,action_words,käima,walk,walk
item_451,action_words,laulma,sing,sing
item_452,action_words,leidma,find,find
item_453,action_words,limpsima,lick,lick
item_454,action_words,lubama,promise,promise
item_455,action_words,lugema,read,read
item_456,action_words,lõhkuma,break,break
item_457,action_words,lõikama,cut (action),cut (action)
item_458,action_words,lõpetama,finish,finish
item_459,action_words,lööma,hit,hit
item_460,action_words,lükkama,push,push
item_461,action_words,magama,sleep,sleep
item_462,action_words,maitsema,taste,taste
item_463,action_words,meeldima,like,like
item_464,action_words,minema,go,go
item_465,action_words,musitama,kiss,kiss
item_466,action_words,mängima,play,play
item_467,action_words,nutma,cry,cry
item_468,action_words,nägema,see,see
item_469,action_words,näitama,show,show
item_470,action_words,olema,begin,begin
item_471,action_words,ostma,buy,buy
item_472,action_words,pai_tegema,caress,caress
item_473,action_words,panema,put,put
item_474,action_words,parandama,fix,fix
item_475,action_words,pesema,wash,wash
item_476,action_words,pidama,keep,keep
item_477,action_words,plaksutama,clap,clap
item_478,action_words,pritsima,spray,spray
item_479,action_words,puhastama,clean (action),clean (action)
item_480,action_words,puhuma,blow,blow
item_481,action_words,pühkima,wipe,wipe
item_482,action_words,püüdma,catch,catch
item_483,action_words,ronima,climb,climb
item_484,action_words,rääkima,talk,talk
item_485,action_words,saama,get,get
item_486,action_words,kinni_panema,shut down,
item_487,action_words,sõitma,drive,drive
item_488,action_words,sööma,eat,eat
item_489,action_words,tahtma,want,want
item_490,action_words,tantsima,dance,dance
item_491,action_words,tegema,make,make
item_492,action_words,tohtima,be allowed to,
item_493,action_words,toitma,feed,feed
item_494,action_words,tooma,bring,bring
item_495,action_words,tulema,come,come
item_496,action_words,töötama,work (action),work (action)
item_497,action_words,tõmbama,pull,pull
item_498,action_words,ujuma,swim,swim
item_499,action_words,vaatama,watch (action),watch (action)
item_500,action_words,valama,pour,pour
item_501,action_words,võima,be able to,
item_502,action_words,võtma,take,take
item_503,action_words,värvima,color (action),color (action)
item_504,action_words,ütlema,say,say
item_505,locations,all_v,below,below
item_506,locations,alla,under,under
item_507,locations,juures,by,by
item_508,locations,koos,with,with
item_509,locations,kõrval,next to,next to
item_510,locations,maas,on the ground,
item_511,locations,maha,to the ground,
item_512,locations,peal,on top,on top
item_513,locations,peale,onto,
item_514,locations,seal,there,there
item_515,locations,sees,inside,inside
item_516,locations,siin,here,here
item_517,locations,sinna,there,there
item_518,locations,sisse,in there,
item_519,locations,taga,behind,behind
item_520,locations,tagasi,back,back
item_521,locations,välja,out,out
item_522,locations,väljas,outside,outside
item_523,locations,ära,away,away
item_524,locations,ääres,beside,beside
item_525,locations,üle,over,over
item_526,locations,üles,up,up
item_527,locations,üleval,above,above
item_528,locations,ümber,around,around
item_529,question_words,kes,who,who
item_530,question_words,kuidas,how,how
item_531,question_words,kus,where (question),where (question)
item_532,question_words,mida,what,what
item_533,question_words,miks,why,why
item_534,question_words,millal,when (question),when (question)
item_535,question_words,mis,what,what
item_536,connecting_words,ja,and,and
item_537,connecting_words,sest,because,because
item_538,connecting_words,aga,but,but
item_539,connecting_words,kui,when (conjunction),when (conjunction)
item_540,connecting_words,siis,then,then
item_541,connecting_words,nii,so,so
item_542,connecting_words,et,so as to,so
item_543,connecting_words,või0,or,or
item_544,quantifiers,iga,each,each
item_545,quantifiers,kõik,all,all
item_546,quantifiers,mitte_ühtegi,none,none
item_547,quantifiers,mõned,some,some
item_548,quantifiers,sama,same,same
item_549,quantifiers,palju,many,many
item_550,quantifiers,teine,second (quantifier),
item_551,quantifiers,veel,more,more
item_552,quantifiers,vks,one,one
item_553,descriptive_words,armas,darling,
item_554,descriptive_words,esimene,first,first
item_555,descriptive_words,ettevaatlikult,careful,careful
item_556,descriptive_words,haige,ill,sick
item_557,descriptive_words,hapu,sour,sour
item_558,descriptive_words,halb,bad,bad
item_559,descriptive_words,hea,good,good
item_560,descriptive_words,hirmus,scary,scary
item_561,descriptive_words,hästi,good,good
item_562,descriptive_words,ilus,beautiful,beautiful
item_563,descriptive_words,janune,thirsty,thirsty
item_564,descriptive_words,kadunud,lost,lost
item_565,descriptive_words,katki,broken,broken
item_566,descriptive_words,kena,nice,nice
item_567,descriptive_words,kibe,bitter,bitter
item_568,descriptive_words,kiire,fast,fast
item_569,descriptive_words,kinni,closed,closed
item_570,descriptive_words,kleepuv,sticky,sticky
item_571,descriptive_words,kollane,yellow,yellow
item_572,descriptive_words,kuiv,dry (description),dry (description)
item_573,descriptive_words,kurb,sad,sad
item_574,descriptive_words,kuri,mad,mad
item_575,descriptive_words,kuum,hot,hot
item_576,descriptive_words,kõrge,high,high
item_577,descriptive_words,kõva,hard,hard
item_578,descriptive_words,külm,cold,cold
item_579,descriptive_words,lahti,open (description),open (description)
item_580,descriptive_words,maitsev,tasty,tasty
item_581,descriptive_words,räpane,dirty,dirty
item_582,descriptive_words,must,black,black
item_583,descriptive_words,märg,wet (description),wet (description)
item_584,descriptive_words,näljane,hungry,hungry
item_585,descriptive_words,oranz,orange (description),orange (description)
item_586,descriptive_words,otsas,finished,finished
item_587,descriptive_words,paha,bad,bad
item_588,descriptive_words,pahane,displeased,
item_589,descriptive_words,palav,hot,hot
item_590,descriptive_words,parem,right (description),
item_591,descriptive_words,pehme,soft,soft
item_592,descriptive_words,pikk,tall,tall
item_593,descriptive_words,pime,dark,dark
item_594,descriptive_words,pruun,brown,brown
item_595,descriptive_words,puhas,clean (description),clean (description)
item_596,descriptive_words,punane,red,red
item_597,descriptive_words,raske,heavy,heavy
item_598,descriptive_words,roheline,green,green
item_599,descriptive_words,rõõmus,happy,happy
item_600,descriptive_words,sinine,blue,blue
item_601,descriptive_words,soe,warm,warm
item_602,descriptive_words,suur,big,big
item_603,descriptive_words,tilluke,tiny,tiny
item_604,descriptive_words,tore,fun,fun
item_605,descriptive_words,tubli,fine,fine
item_606,descriptive_words,tuuline,windy,windy
item_607,descriptive_words,täis,full,full
item_608,descriptive_words,tühi,empty (description),empty
item_609,descriptive_words,unine,sleepy,sleepy
item_610,descriptive_words,uus,new,new
item_611,descriptive_words,vaikne,quiet,quiet
item_612,descriptive_words,valge,white,white
item_613,descriptive_words,valjusti,loud,loud
item_614,descriptive_words,valus,painful,painful
item_615,descriptive_words,vana,old,old
item_616,descriptive_words,viimane,last,last
item_617,descriptive_words,väike,small,small
item_618,descriptive_words,väsinud,tired,tired
item_619,descriptive_words,ärkvel,awake,awake
item_620,pronouns,ise,self,self
item_621,pronouns,meie,we,1PL
item_622,pronouns,mina,me,1SG
item_623,pronouns,minu,mine,1SG
item_624,pronouns,mulle,to me,1SG
item_625,pronouns,nemad,they,3PL
